Phi[deg],Theta[deg],GainTotal
-180,0,6.74698
-178,0,6.74698
-176,0,6.74698
-174,0,6.74698
-172,0,6.74698
-170,0,6.74698
-168,0,6.74698
-166,0,6.74698
-164,0,6.74698
-162,0,6.74698
-160,0,6.74698
-158,0,6.74698
-156,0,6.74698
-154,0,6.74698
-152,0,6.74698
-150,0,6.74698
-148,0,6.74698
-146,0,6.74698
-144,0,6.74698
-142,0,6.74698
-140,0,6.74698
-138,0,6.74698
-136,0,6.74698
-134,0,6.74698
-132,0,6.74698
-130,0,6.74698
-128,0,6.74698
-126,0,6.74698
-124,0,6.74698
-122,0,6.74698
-120,0,6.74698
-118,0,6.74698
-116,0,6.74698
-114,0,6.74698
-112,0,6.74698
-110,0,6.74698
-108,0,6.74698
-106,0,6.74698
-104,0,6.74698
-102,0,6.74698
-100,0,6.74698
-98,0,6.74698
-96,0,6.74698
-94,0,6.74698
-92,0,6.74698
-90,0,6.74698
-88,0,6.74698
-86,0,6.74698
-84,0,6.74698
-82,0,6.74698
-80,0,6.74698
-78,0,6.74698
-76,0,6.74698
-74,0,6.74698
-72,0,6.74698
-70,0,6.74698
-68,0,6.74698
-66,0,6.74698
-64,0,6.74698
-62,0,6.74698
-60,0,6.74698
-58,0,6.74698
-56,0,6.74698
-54,0,6.74698
-52,0,6.74698
-50,0,6.74698
-48,0,6.74698
-46,0,6.74698
-44,0,6.74698
-42,0,6.74698
-40,0,6.74698
-38,0,6.74698
-36,0,6.74698
-34,0,6.74698
-32,0,6.74698
-30,0,6.74698
-28,0,6.74698
-26,0,6.74698
-24,0,6.74698
-22,0,6.74698
-20,0,6.74698
-18,0,6.74698
-16,0,6.74698
-14,0,6.74698
-12,0,6.74698
-10,0,6.74698
-8,0,6.74698
-6,0,6.74698
-4,0,6.74698
-2,0,6.74698
0,0,6.74698
2,0,6.74698
4,0,6.74698
6,0,6.74698
8,0,6.74698
10,0,6.74698
12,0,6.74698
14,0,6.74698
16,0,6.74698
18,0,6.74698
20,0,6.74698
22,0,6.74698
24,0,6.74698
26,0,6.74698
28,0,6.74698
30,0,6.74698
32,0,6.74698
34,0,6.74698
36,0,6.74698
38,0,6.74698
40,0,6.74698
42,0,6.74698
44,0,6.74698
46,0,6.74698
48,0,6.74698
50,0,6.74698
52,0,6.74698
54,0,6.74698
56,0,6.74698
58,0,6.74698
60,0,6.74698
62,0,6.74698
64,0,6.74698
66,0,6.74698
68,0,6.74698
70,0,6.74698
72,0,6.74698
74,0,6.74698
76,0,6.74698
78,0,6.74698
80,0,6.74698
82,0,6.74698
84,0,6.74698
86,0,6.74698
88,0,6.74698
90,0,6.74698
92,0,6.74698
94,0,6.74698
96,0,6.74698
98,0,6.74698
100,0,6.74698
102,0,6.74698
104,0,6.74698
106,0,6.74698
108,0,6.74698
110,0,6.74698
112,0,6.74698
114,0,6.74698
116,0,6.74698
118,0,6.74698
120,0,6.74698
122,0,6.74698
124,0,6.74698
126,0,6.74698
128,0,6.74698
130,0,6.74698
132,0,6.74698
134,0,6.74698
136,0,6.74698
138,0,6.74698
140,0,6.74698
142,0,6.74698
144,0,6.74698
146,0,6.74698
148,0,6.74698
150,0,6.74698
152,0,6.74698
154,0,6.74698
156,0,6.74698
158,0,6.74698
160,0,6.74698
162,0,6.74698
164,0,6.74698
166,0,6.74698
168,0,6.74698
170,0,6.74698
172,0,6.74698
174,0,6.74698
176,0,6.74698
178,0,6.74698
180,0,6.74698
-180,2,7.01421
-178,2,7.01341
-176,2,7.01227
-174,2,7.01078
-172,2,7.00894
-170,2,7.00676
-168,2,7.00424
-166,2,7.00137
-164,2,6.99818
-162,2,6.99465
-160,2,6.9908
-158,2,6.98663
-156,2,6.98214
-154,2,6.97734
-152,2,6.97224
-150,2,6.96685
-148,2,6.96116
-146,2,6.95518
-144,2,6.94894
-142,2,6.94242
-140,2,6.93565
-138,2,6.92862
-136,2,6.92135
-134,2,6.91385
-132,2,6.90613
-130,2,6.89819
